Aburria cujubi;cujubi, Red-throated Piping-Guan;Vulnerável (VU);Amazonas, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Pará, Rondônia, Tocantins;Amazônia, Cerrado, Pantanal
Aburria jacutinga;Black-fronted Piping-Guan, jacutinga, Pava Yacutinga;Em Perigo (EN);Bahia, Espírito Santo, Mato Grosso do Sul, Minas Gerais, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo;Mata Atlântica
Aceratobasis cornicauda;agulhinha, donzelinha, lava-bunda, lavadeira, Libélula;Vulnerável (VU);Bahia, Espírito Santo, Minas Gerais, Rio de Janeiro;Mata Atlântica
Aceratobasis mourei;agulhinha, donzelinha, lava-bunda, lavadeira, Libélula;Em Perigo (EN);Espírito Santo, Minas Gerais;Mata Atlântica
Acherontides eleonorae;Colêmbolo, Pulga-de-jardim;Vulnerável (VU);São Paulo;Mata Atlântica
Achirus mucuri;solha, tapa;Vulnerável (VU);Bahia;Sistema Costeiro-Marinho
Acrobatornis fonsecai;acrobata, Graveteiro, Pink-legged Graveteiro;Vulnerável (VU);Bahia, Minas Gerais;Mata Atlântica
Actinote quadra;Borboleta, Borboleta-palha;Vulnerável (VU);Minas Gerais, Rio de Janeiro, São Paulo;Mata Atlântica
Actinote zikani;Borboleta;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Adebrotus lugoi;Efemérida;Vulnerável (VU);Espírito Santo, Pernambuco;Mata Atlântica
Adelophryne maranguapensis;Rãnzinha-pulga, Shield Frog;Criticamente em Perigo (CR);Ceará;Caatinga
Adelpha atlantica;Borboleta;Em Perigo (EN);Rio de Janeiro;Mata Atlântica
Aegla brevipalma;Egla;Criticamente em Perigo (CR);Santa Catarina;Mata Atlântica
Aegla camargoi;Egla;Em Perigo (EN);Rio Grande do Sul, Santa Catarina;Mata Atlântica
Aegla cavernicola;Egla;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Aegla charon;Egla;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Aegla franca;Egla;Criticamente em Perigo (CR);Minas Gerais, São Paulo;Cerrado
Aegla inconspicua;Egla;Vulnerável (VU);Rio Grande do Sul;Mata Atlântica, Pampa
Aegla inermis;Egla;Em Perigo (EN);Rio Grande do Sul;Mata Atlântica
Aegla itacolomiensis;Egla;Em Perigo (EN);Rio Grande do Sul;Mata Atlântica, Pampa
Aegla leachi;Egla;Em Perigo (EN);Santa Catarina;Mata Atlântica
Aegla leptochela;egla;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Aegla leptodactyla;Egla;Vulnerável (VU);Rio Grande do Sul, Santa Catarina;Mata Atlântica
Aegla manuinflata;Egla;Em Perigo (EN);Rio Grande do Sul;Mata Atlântica, Pampa
Aegla microphthalma;egla;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Aegla oblata;Egla;Em Perigo (EN);Santa Catarina;Mata Atlântica
Aegla obstipa;Egla;Em Perigo (EN);Rio Grande do Sul;Pampa
Aegla perobae;Egla;Criticamente em Perigo (CR);São Paulo;Cerrado
Aegla renana;Egla;Criticamente em Perigo (CR);Rio Grande do Sul;Mata Atlântica
Aegla violacea;Egla;Em Perigo (EN);Rio Grande do Sul;Pampa
Aethiopella littoralis;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Agraphorura mariapetrae;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Criticamente em Perigo (CR);Rio de Janeiro;Sistema Costeiro-Marinho
Aguarunichthys tocantinsensis;Bagre, Bagre pedra, Jauzinho do canal;Em Perigo (EN);Goiás, Mato Grosso, Pará, Tocantins;Amazônia, Cerrado
Akodon mystax;Caparaó Akodont, Caparaó Grass Mouse, Rato-do-chão do Caparaó, Schnurrbart-Feldmaus;Vulnerável (VU);Espírito Santo, Minas Gerais;Mata Atlântica
Alectrurus tricolor;Cock-tailed Tyrant, galito, Yetapá Chico;Vulnerável (VU);Distrito Federal, Goiás, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Paraná, Rio Grande do Sul, São Paulo, Tocantins;Cerrado, Mata Atlântica, Pantanal
Alopias superciliosus;tubarão-rabudo, tubarão-raposa, tubarão-raposa-olhudo;Em Perigo (EN);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Alopias vulpinus;tubarão-rabudo, tubarão-raposa, tubarão-saltador;Criticamente em Perigo (CR);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Alouatta belzebul;Bugio, Capelão, Górgo, Guariba, Guariba-de-mãos-ruivas, Guariba-de-mãos-vermelhas, Guariba-preta, Mono-aullador, Red-handed Howler Monkey, Red-handed Howling Monkey;Vulnerável (VU);Alagoas, Amapá, Maranhão, Mato Grosso, Pará, Paraíba, Pernambuco, Rio Grande do Norte, Tocantins;Amazônia, Cerrado, Mata Atlântica
Alouatta discolor;Guariba-de-mãos-ruivas, guariba-de-mãos-vermelhas, Red-handed Howling Monkey, Spix’s Red-handed Howler Monkey;Vulnerável (VU);Mato Grosso, Pará;Amazônia
Alouatta guariba clamitans;Barbado, Bugio, Bugio-ruivo, Guariba, Mono Aullador, Southern Brown Howler Monkey, Southern Brown Howling Monkey;Vulnerável (VU);Espírito Santo, Mato Grosso do Sul, Minas Gerais, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo;Cerrado, Mata Atlântica, Pampa
Alouatta guariba guariba;Aullador, Barbado, Barbado-vermelho, Bugio, Bugio-marrom, Bugio-marrom-do-norte, Bugio-ruivo, Guariba, Northern Brown Howler Monkey, Northern Brown Howling Monkey;Criticamente em Perigo (CR);Bahia, Espírito Santo, Minas Gerais;Mata Atlântica
Alouatta ululata;Caatinga Howler Monkey, capelão, Guariba, guariba-da-Caatinga, Howling Monkey, Maranhão Howler Monkey, Mono-aullador;Em Perigo (EN);Ceará, Maranhão, Piauí;Caatinga, Cerrado
Altitatiayus campoi;Besouro, besouro-tesoura;Vulnerável (VU);São Paulo;Mata Atlântica
Altitatiayus dulceae;Besouro, besouro-tesoura;Vulnerável (VU);Minas Gerais;Mata Atlântica
Altitatiayus godinhorum;Besouro, besouro-tesoura;Vulnerável (VU);Rio de Janeiro;Mata Atlântica
Altitatiayus koikei;Besouro, besouro-tesoura;Vulnerável (VU);Minas Gerais;Mata Atlântica
Altitatiayus rotundatus;Besouro, besouro-tesoura;Vulnerável (VU);Rio de Janeiro;Mata Atlântica
Altitatiayus ruficollis;Besouro, besouro-tesoura;Vulnerável (VU);Minas Gerais;Mata Atlântica
Altitatiayus trifurcatus;Besouro, besouro-tesoura;Vulnerável (VU);Minas Gerais;Mata Atlântica
Amadonastur lacernulatus;Busardo Cuelliblanco, gavião-pombo-pequeno, White-necked Hawk;Vulnerável (VU);Bahia, Espírito Santo, Minas Gerais, Paraná, Rio de Janeiro, Santa Catarina, São Paulo;Mata Atlântica
Amazona pretrei;Amazona charao, papagaio-charão, Red-spectacled Amazon;Vulnerável (VU);Rio Grande do Sul, Santa Catarina;Mata Atlântica, Pampa
Amazona rhodocorytha;Amazona coronirroja, chauá, Red-browed Amazon;Vulnerável (VU);Alagoas, Bahia, Espírito Santo, Minas Gerais, Rio de Janeiro, Sergipe;Mata Atlântica
Amazona vinacea;Amazona vinosa, papagaio-de-peito-roxo, Vinaceous-breasted Amazon;Vulnerável (VU);Bahia, Espírito Santo, Minas Gerais, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo;Caatinga, Cerrado, Mata Atlântica, Pampa
Amazoniscus leistikowi;Tatuzinho;Criticamente em Perigo (CR);Pará;Amazônia
Ameiva parecis;Calango, Calanguinho, Iguaninha, Lagarto;Em Perigo (EN);Mato Grosso, Rondônia;Amazônia, Cerrado
Ameivula nativo;Lagartinho-de-Linhares, Lagartinho-nativo;Em Perigo (EN);Bahia, Espírito Santo;Mata Atlântica
Amphisbaena arda;Cobra-de-duas-cabeças, Cobra-de-duas-cabeças-pintada;Em Perigo (EN);Bahia;Cerrado
Amphisbaena frontalis;Cobra-cega, Cobra-de-duas-cabeças;Em Perigo (EN);Bahia, Piauí;Caatinga, Cerrado
Amphisbaena nigricauda;Cobra-cega, Cobra-de-duas-cabeças;Em Perigo (EN);Bahia, Espírito Santo;Mata Atlântica
